id_user;desc_ent
23;ArchiPlusRecherche est une entreprise de recherche en sciences humaines spécialisée dans la gestion et la préservation des collections de bibliothèques et d'archives. Nous proposons des services de tri, de catalogage et de numérisation de documents, ainsi que des formations pour les professionnels des bibliothèques et des archives.
24;ArchiSauve est une entreprise de services d'archivage et de triathécaire spécialisée dans la gestion et la conservation des archives pour les entreprises, les institutions et les organisations publiques et privées. Nous aidons nos clients à organiser, stocker et accéder à leurs archives pour une utilisation efficace et sûre.
25;Psyclin est un cabinet de psychologie clinique qui propose des consultations et des thérapies pour les individus en souffrance psychique.
26;Psyconfort est une entreprise de psychologie clinique qui offre des services de soutien psychologique et de bien-être pour les entreprises et les organisations.
27;Solidarity est une entreprise de travail social qui offre des services d'accompagnement social pour les personnes en difficulté.
28;Aide & Protection est une entreprise de travail social qui fournit des services de protection et de soutien aux personnes en situation de vulnérabilité.
29;OrientPro est une entreprise de conseil en orientation professionnelle qui accompagne les individus dans la construction de leur parcours professionnel.
30;Conseil Carrière & Prospection est une entreprise spécialisée dans le conseil en orientation professionnelle, l'accompagnement des individus dans leur choix de carrière et leur reconversion professionnelle.
31;GestionPlus est une entreprise spécialisée dans la gestion de cas
32;TechSolutions est une entreprise innovante spécialisée dans le développement de solutions technologiques pour optimiser la gestion des cas. Nous proposons des outils avancés de suivi, d'analyse et de résolution des cas pour aider nos clients à améliorer leur efficacité opérationnelle. En rejoignant notre équipe, vous aurez l'opportunité de travailler sur des projets passionnants et de développer vos compétences en gestion de cas dans un environnement dynamique et collaboratif.
33;HealthComm est une entreprise renommée dans le domaine de la santé communautaire. Nous nous engageons à améliorer la santé et le bien-être des individus au sein de notre communauté.
34;En tant que stagiaire chez Danone, vous serez encadré(e) par des professionnels expérimentés qui vous guideront tout au long de votre stage. Vous travaillerez au sein d'équipes pluridisciplinaires et collaboratives, où vous aurez l'opportunité de développer vos compétences, d'acquérir une expérience pratique et de contribuer à des projets stimulants.
35;En tant que stagiaire chez Amazon, vous aurez l'occasion de rejoindre l'une des entreprises les plus innovantes et influentes au monde. Amazon offre un environnement de travail stimulant et axé sur la créativité, où vous pourrez acquérir une expérience pratique et développer vos compétences dans divers domaines.
36;En tant que stagiaire chez Engie, vous aurez l'occasion de rejoindre une entreprise leader dans le domaine de l'énergie et des services connexes. Engie se concentre sur la transition énergétique, en proposant des solutions innovantes et durables pour répondre aux besoins en énergie de la société.
37;En tant que stagiaire chez Medtronic, vous aurez l'opportunité de vous immerger dans le monde passionnant des technologies médicales et de contribuer à l'amélioration des soins de santé. Medtronic est une entreprise axée sur l'innovation et l'impact positif sur la vie des patients.
38;Total est l'une des plus grandes entreprises pétrolières et gazières au niveau mondial. Elle opère dans tous les segments de l'industrie, allant de l'exploration et de la production à la distribution et à la commercialisation des produits pétroliers. En tant qu'entreprise internationale, Total propose souvent des stages dans divers domaines et secteurs d'activité.
